content,label
"Pete Hegseth says he ‘didn’t stick around’ to watch second strike on alleged drug boat as Democrats slam administration over attacks – as it happened <p>Defense secretary says he ‘moved on to my next meeting’ as sensitive military operation was under way; top Democrat calls Hegseth ‘spineless’ and ‘a national embarrassment’. This blog is now closed.</p><ul><li><p><a href=""https://www.theguardian.com/us-news/2025/dec/02/us-admiral-to-brief-lawmakers-as-bipartisan-scrutiny-grows-over-boat-strike"">White House ‘selling out’ admiral to shield Hegseth over strikes, officials say</a></p></li><li><p><a href=""https://www.theguardian.com/us-news/2025/dec/02/trump-threatens-strikes-drugs-venezuela"">Trump threatens strikes on any country he claims makes drugs for US</a></p></li></ul><p><em>Joseph Gedeon is a politics breaking news reporter based in Washington</em></p><p>The <a href=""https://www.theguardian.com/us-news/fbi"">FBI</a> director, <strong>Kash Patel</strong>, is “in over his head” and leading a “chronically under-performing” agency paralyzed by fear and plummeting morale, according to a scathing 115-page report compiled by a national alliance of retired and active-duty FBI special agents and analysts.</p> <a href=""https://www.theguardian.com/us-news/live/2025/dec/02/donald-trump-pete-hegseth-boat-venezuela-maduro-tennessee-us-politics-live-news-updates"">Continue reading...</a>",real
"Trump frees ex-Honduran president from prison as country awaits knife-edge election result <p>Release of convicted cocaine trafficker Juan Orlando Hernández is latest US interference in election and comes despite Trump’s apparent ‘war on drugs’</p><ul><li><p><a href=""https://www.theguardian.com/us-news/2025/dec/01/trump-pardon-juan-orlando-hernandez-honduras-former-president"">Analysis: Trump’s pardon of Honduras’s ex-president shows counter-drug effort is ‘based on lies and hypocrisy’</a></p></li></ul><p>A former president of Honduras who was convicted of drug trafficking has walked free from a US prison after receiving a pardon from Donald Trump, as the country’s presidential election remained on a knife edge with the US-backed candidate leading by 515 votes.</p><p>Juan Orlando Hernández, who was sentenced to 45 years in prison for allegedly creating “a cocaine superhighway to the United States”, was released from a West Virginia prison after Trump’s intervention, Hernández’s wife confirmed on Tuesday.</p> <a href=""https://www.theguardian.com/world/2025/dec/02/trump-intervention-honduras-presidential-vote-count-stalls-nasry-asfura"">Continue reading...</a>",real
"Publisher condemns ‘violent’ use of Franklin the Turtle after Hegseth’s boat strike post <p>US defense secretary posted meme depicting beloved children’s character aiming rocket launcher at set of boats</p><ul><li><p><a href=""https://www.theguardian.com/us-news/2025/dec/02/hegseth-us-soldiers-iraq-rules-engagement"">Pete Hegseth told US soldiers in Iraq to ignore legal advice on rules of engagement</a></p></li></ul><p>A post on social media by US defense secretary <a href=""https://www.theguardian.com/us-news/pete-hegseth"">Pete Hegseth</a>, depicting a beloved children’s character aiming a rocket launcher at a cluster of boats, has elicited condemnation from the book’s Canadian publisher.</p><p>Hegseth’s post of the mocked cover of a Franklin the Turtle book titled Franklin Targets Narco Terrorists prompted disbelief and outrage. The image shows a smiling anthropomorphic turtle in military helmet and vest, with a US flag on his arm and a drug-laden boat exploding in the background. “For your Christmas wish list,” Hegseth wrote as the caption.</p> <a href=""https://www.theguardian.com/us-news/2025/dec/02/pete-hegseth-franklin-the-turtle"">Continue reading...</a>",real
"Revealed: Mexico’s industrial boomtown is making goods for the US. Residents say they’re ‘breathing poison’ <p>Polluting facilities in Monterrey, which has close ties to the US, are pumping toxic heavy metals into the city’s air and threatening residents’ health</p><ul><li><p><a href=""http://quintoelab.org/project/identifican-industrias-emisiones-contaminantes-monterrey""><em>Leer en español </em></a><em>en Quinto Elemento Lab</em></p></li></ul><p>An industrial boom in a US manufacturing hub in Mexico is contributing to a massive air pollution crisis that is threatening residents’ health, according to new research by the Guardian and Quinto Elemento Lab.</p><p>The polluting facilities in Monterrey include factories that are operated by companies from around the world – including the US, Europe, Asia and Mexico – but export largely to the US.</p> <a href=""https://www.theguardian.com/us-news/2025/dec/02/monterrey-mexico-air-quality-industrial-pollution"">Continue reading...</a>",real
"St Lucia prime minister Philip Pierre keeps majority as ruling party wins <p>Labour party holds at least 13 seats after campaign centered on crime, economy and passport sales</p><p>St Lucia Labour party (SLP) of the prime minister, Philip Pierre, has held its legislative majority, putting Pierre on course for re-election after <a href=""https://www.theguardian.com/world/2025/dec/01/st-lucia-votes-election-economy-crime-passport-sales"">a campaign centered on economic management, violent crime and passport sales.</a></p><p>Official election results on Tuesday showed the social democratic SLP winning at least 13 seats in the small Caribbean island’s 17-seat House of Assembly, matching its current majority with two seats left to be called. The results showed Pierre with 57.1% of the popular vote against the conservative opposition leader Allen Chastanet’s 37.3%.</p> <a href=""https://www.theguardian.com/world/2025/dec/02/st-lucia-election-prime-minister-philip-pierre-wins"">Continue reading...</a>",real
"Search for Malaysia Airlines flight MH370 to resume more than 11 years after plane went missing <p>The country’s transport ministry said the search would resume on 30 December and confirmed that US robotic company Ocean Infinity would take part </p><p>The search for the missing Malaysia Airlines flight MH370 will resume this month, the Malaysian transport ministry has said, more than a decade after the plane disappeared in one of <a href=""https://www.theguardian.com/world/2024/mar/06/mh370-anniversary-10-years-malaysia-airlines-flight-plane-search-mystery-unsolved"">aviation’s greatest mysteries</a>.</p><p>In a statement on Wednesday, the transport ministry confirmed the search would resume on 30 December, saying that US-based robotic company Ocean Infinity would recommence a search of the seabed over a period of 55 days, conducted intermittently.</p> <a href=""https://www.theguardian.com/world/2025/dec/03/search-for-malaysia-airline-flight-mh370-to-resume-over-11-years-after-plane-went-missing"">Continue reading...</a>",real
"UK government delays decision on China’s super-embassy until January <p>New date to approve site near Tower Bridge in London aligns with Keir Starmer’s planned visit to Beijing</p><p>The government has delayed its decision on whether to approve <a href=""https://www.theguardian.com/world/2025/oct/04/china-mega-embassy-dilemma-starmer"">China’s super-embassy</a> in London until January, when Keir Starmer is expected to visit Beijing.</p><p>Ministers are expected to greenlight the controversial plans after formal submissions by the Home Office and Foreign Office raised no objections on security grounds.</p> <a href=""https://www.theguardian.com/world/2025/dec/02/uk-government-delays-china-super-embassy-january"">Continue reading...</a>",real
"Handling of China spying case was ‘shambolic’, security committee concludes <p>Report says ‘systemic failures’ led to collapse of trial, but found no evidence of UK government interference </p><p>Parliament’s security committee has criticised prosecutors for <a href=""https://www.theguardian.com/world/2025/oct/07/china-spies-case-was-dropped-after-government-failed-to-provide-evidence-of-beijing-threat"">pulling their charges against two men</a> accused of spying for Beijing, in a damning report that concluded the handling of the case was “shambolic”.</p><p>MPs said that a process “beset by confusion and misaligned expectations” and “inadequate” communication between the government and Crown Prosecution Service (CPS) had contributed to the collapse of the trial, while several “opportunities to correct course were missed”.</p><p>It was “unclear” why the CPS had concluded that a July 2024 ruling concerning a Bulgarian spy ring “altered the legal landscape so significantly” that they had to change their approach.</p><p>It was “surprised” the CPS had deemed the government’s evidence insufficient to put to a jury when it had set out how China “posed a range of threats to the United Kingdom’s national security” that “amounted to a more general active threat”.</p><p>The government “did not have sufficiently clear processes for escalating issues where there was a lack of clarity” and “the level of senior oversight” from cabinet ministers and national security advisers “was insufficiently robust”.</p> <a href=""https://www.theguardian.com/world/2025/dec/03/uk-china-spying-case-collapse-security-committee-report"">Continue reading...</a>",real
"Global heating and other human activity are making Asia’s floods more lethal <p>Much improved response systems are struggling to cope with ever more powerful and destructive storms</p><ul><li><p><a href=""https://www.theguardian.com/world/2025/dec/02/indonesia-floods-one-million-people-evacuated-death-toll-rises"">Death toll from Indonesia floods passes 700 as 1 million evacuated</a></p></li></ul><p>Families stranded on their rooftops. Homes buried by fast-flowing mud. Jagged brown craters scarring lush green hillsides.</p><p>The scenes are the result of a series of cyclones and storms in a heavy monsoon season that have struck Asia with torrential rains, gutting essential infrastructure and reshaping landscapes. The violent weather has killed at least 1,200 people in the past week and forced a million to flee without knowing whether their homes will still be standing when they go back.</p> <a href=""https://www.theguardian.com/world/2025/dec/02/global-heating-and-other-human-activity-are-making-asias-floods-more-lethal"">Continue reading...</a>",real
"British women stranded by landslides in Sri Lankan mountains running out of food and water, daughter says <p>Friends Melanie Watters and Janine Reid have been trapped in Pussellawa since Thursday</p><p>Two British women stranded by landslides in Sri Lanka’s tea mountains are running out of food and water, the daughter of one of them has said, as officials reported that the death toll of Cyclone Ditwah has reached 465.</p><p>Melanie Watters, 54, and her friend Janine Reid, 55, both from London, were being driven through the mountains from Kandy in central Sri Lanka on Thursday when the road in front of them was swamped, sending a bus nearby over a cliff-edge.</p> <a href=""https://www.theguardian.com/world/2025/dec/02/british-women-stranded-by-landslides-in-sri-lankan-mountains-running-out-of-food-and-water-daughter-says"">Continue reading...</a>",real
"‘Addiction to secrecy’: opposition and crossbench slam Labor’s ‘undemocratic’ changes to FoI – including charging fees <p>The proposed changes, which the government claims are needed to combat AI-generated requests, would also reduce what documents can be released</p><ul><li><p>Get our <a href=""https://www.theguardian.com/email-newsletters?CMP=cvau_sfl"">breaking news email</a>, <a href=""https://app.adjust.com/w4u7jx3"">free app</a> or <a href=""https://www.theguardian.com/australia-news/series/full-story?CMP=cvau_sfl"">daily news podcast</a></p></li></ul><p>The Albanese government’s proposal to introduce fees for freedom of information requests and reduce what documents can be released has been widely slammed by opposition and crossbench senators as “undemocratic” and evidence of Labor’s “addiction to secrecy”.</p><p>The Labor-chaired Senate inquiry released its report on Wednesday recommending the bill be passed but the Coalition, the Greens, and senators David Pocock and Jacqui Lambie all submitted their own reports condemning the plans.</p> <a href=""https://www.theguardian.com/australia-news/2025/dec/03/addiction-to-secrecy-opposition-and-crossbench-slam-labors-undemocratic-changes-to-foi-including-charging-fees"">Continue reading...</a>",real
"Gallagher says public service ‘roughly the right size’ – as it happened <p>Follow today’s news live</p><ul><li><p><a href=""https://www.theguardian.com/australia-news/2025/dec/03/bruce-lehrmann-appeal-defamation-case-network-ten-lisa-wilkinson-ntwnfb"">Bruce Lehrmann knew Brittany Higgins didn’t consent, federal court rules as it dismisses defamation appeal</a></p></li><li><p>Get our <a href=""https://www.theguardian.com/email-newsletters?CMP=cvau_sfl"">breaking news email</a>, <a href=""https://app.adjust.com/w4u7jx3"">free app</a> or <a href=""https://www.theguardian.com/australia-news/series/full-story?CMP=cvau_sfl"">daily news podcast</a></p></li></ul><p><strong>More on the eSafety commissioner’s letter to a US lawmaker</strong></p><p><strong>Julie Inman Grant</strong> told senators that Australians expect companies providing services into Australia to abide by Australian laws. She also pointed out that since the <a href=""https://www.theguardian.com/technology/article/2024/jun/05/x-elon-musk-vs-australia-esafety-commissioner-wakeley-church-stabbing-footage"">Wakeley church stabbing case</a> that X challenged in the court and eSafety ended up dropping, the agency had accepted geo-blocking Australian users from seeing the posts as compliance with Australian law.</p><p>So the conclusion is nothing that we do here with the Online Safety Act affects anything that an American platform will serve to Americans. So no, it does not impinge upon Americans’ freedom of speech.</p><p>I am just in the process of sending that to the chairman right now. I think out of respect for him – when he sent me his letter, he sent it concurrently, it appears, to Sky News – I prefer to send it official to official.</p> <a href=""https://www.theguardian.com/australia-news/live/2025/dec/03/australia-news-live-bruce-lehrmann-defamation-appeal-brittany-higgins-lisa-wilkinson-network-ten-senate-estimates-social-media-ban-esafety-commissioner-albanese-sussan-ley-labor-coalition-nsw-vic-qld-ntwnfb"">Continue reading...</a>",real
